Date,Region,Cases_day_before,Current_cases,Cases_last_24h,Hospital_all_patients,Hospital_only_COVID-19,Hospital_serious,Deceased
2020-05-22,Gera,207,207,0,42,16,1,10
2020-05-22,Jena,159,159,0,16,11,5,3
2020-05-22,Suhl,16,16,0,6,4,2,2
2020-05-22,Weimar,68,68,0,11,8,1,0
2020-05-22,Summe:,2796,2819,23,586,371,89,151
2020-05-23,Altenburger Land,63,63,0,13,7,4,3
2020-05-23,Eichsfeld,151,151,0,30,24,7,8
2020-05-23,Gotha,278,280,2,66,42,12,27
2020-05-23,Greiz,597,601,4,157,103,21,45
2020-05-23,Hildburghausen,35,38,3,10,2,3,1
2020-05-23,Ilm-Kreis,130,130,0,15,11,6,4
2020-05-23,Kyffhäuserkreis,45,45,0,4,4,1,0
2020-05-23,Nordhausen,61,61,0,19,17,9,2
2020-05-23,Saale-Holzland-Kreis,69,69,1,16,4,1,3
2020-05-23,Saale-Orla-Kreis,144,144,0,33,28,2,12
2020-05-23,Saalfeld-Rudolstadt,69,69,0,13,8,0,0
2020-05-23,Schmalkalden-Meiningen,120,121,1,22,4,2,3
2020-05-23,Sömmerda,37,37,0,4,4,1,1
2020-05-23,Sonneberg,192,197,5,37,17,3,14
2020-05-23,Unstrut-Hainich-Kreis,77,77,0,21,18,2,3
2020-05-23,Wartburgkreis,64,64,0,9,8,3,2
2020-05-23,Weimarer Land,73,73,0,12,10,0,4
2020-05-23,Eisenach,28,28,0,14,11,2,2
2020-05-23,Erfurt,136,136,0,19,10,1,2
2020-05-23,Gera,207,214,7,45,17,1,11
2020-05-23,Jena,159,159,0,16,11,5,3
2020-05-23,Suhl,16,16,0,6,4,2,2
2020-05-23,Weimar,68,68,0,11,8,1,0
2020-05-23,Summe:,2819,2841,22,592,372,89,152
2020-05-24,Altenburger Land,63,63,0,13,7,4,3
2020-05-24,Eichsfeld,151,151,0,30,24,7,8
2020-05-24,Gotha,280,280,0,66,42,12,27
2020-05-24,Greiz,601,604,3,158,103,21,45
2020-05-24,Hildburghausen,38,42,4,11,2,3,1
2020-05-24,Ilm-Kreis,130,130,0,15,11,6,4
2020-05-24,Kyffhäuserkreis,45,45,0,4,4,1,0
2020-05-24,Nordhausen,61,61,0,19,17,9,2
2020-05-24,Saale-Holzland-Kreis,69,69,0,16,4,1,3
2020-05-24,Saale-Orla-Kreis,144,144,0,33,28,2,12
2020-05-24,Saalfeld-Rudolstadt,69,69,0,13,8,0,0
2020-05-24,Schmalkalden-Meiningen,121,122,1,24,4,2,3
2020-05-24,Sömmerda,37,37,0,4,4,1,1
2020-05-24,Sonneberg,197,206,9,37,17,3,14
2020-05-24,Unstrut-Hainich-Kreis,77,77,0,21,18,2,3
2020-05-24,Wartburgkreis,64,67,3,9,8,3,2
2020-05-24,Weimarer Land,73,73,0,12,10,0,4
2020-05-24,Eisenach,28,28,0,14,11,2,2
2020-05-24,Erfurt,136,136,0,19,10,1,2
2020-05-24,Gera,214,217,3,46,18,1,11
2020-05-24,Jena,159,159,0,16,11,5,3
2020-05-24,Suhl,16,17,1,6,4,2,2
2020-05-24,Weimar,68,68,0,11,8,1,0
2020-05-24,Summe:,2841,2865,24,597,373,89,152
2020-05-25,Altenburger Land,63,63,0,13,7,4,3
2020-05-25,Eichsfeld,151,151,0,30,24,7,8
2020-05-25,Gotha,280,281,1,66,42,12,27
2020-05-25,Greiz,604,609,5,158,103,21,45
2020-05-25,Hildburghausen,42,42,0,11,2,3,1
2020-05-25,Ilm-Kreis,130,130,0,15,11,6,4
2020-05-25,Kyffhäuserkreis,45,45,0,4,4,1,0
2020-05-25,Nordhausen,61,61,0,19,17,9,2
2020-05-25,Saale-Holzland-Kreis,69,69,0,16,4,1,3
2020-05-25,Saale-Orla-Kreis,144,144,0,33,28,2,12
2020-05-25,Saalfeld-Rudolstadt,69,69,0,13,8,0,0
2020-05-25,Schmalkalden-Meiningen,122,122,0,24,4,2,3
2020-05-25,Sömmerda,37,37,0,4,4,1,1
2020-05-25,Sonneberg,206,206,0,37,17,3,14
2020-05-25,Unstrut-Hainich-Kreis,77,77,0,21,18,2,3
2020-05-25,Wartburgkreis,67,67,0,9,8,3,2
2020-05-25,Weimarer Land,73,73,0,12,10,0,4
2020-05-25,Eisenach,28,28,0,14,11,2,2
2020-05-25,Erfurt,136,136,0,19,10,1,2
2020-05-25,Gera,217,217,0,46,18,1,11
2020-05-25,Jena,159,159,0,16,11,5,3
2020-05-25,Suhl,17,17,0,6,4,2,2
2020-05-25,Weimar,68,68,0,11,8,1,0
2020-05-25,Summe:,2865,2871,6,597,373,89,152
2020-05-26,Altenburger Land,63,64,1,13,7,4,3
2020-05-26,Eichsfeld,151,151,0,31,25,7,8
2020-05-26,Gotha,281,281,0,66,42,12,28
2020-05-26,Greiz,609,610,1,159,104,21,45
2020-05-26,Hildburghausen,42,42,0,11,2,3,1
2020-05-26,Ilm-Kreis,130,130,0,15,11,6,4
2020-05-26,Kyffhäuserkreis,45,45,0,4,4,1,0
2020-05-26,Nordhausen,61,61,0,19,17,9,2
2020-05-26,Saale-Holzland-Kreis,69,69,0,16,4,1,3
2020-05-26,Saale-Orla-Kreis,144,144,0,33,28,2,12
2020-05-26,Saalfeld-Rudolstadt,69,69,0,13,7,0,0
2020-05-26,Schmalkalden-Meiningen,122,123,1,24,4,2,3
2020-05-26,Sömmerda,37,37,0,4,4,1,1
2020-05-26,Sonneberg,206,209,3,37,17,3,14
2020-05-26,Unstrut-Hainich-Kreis,77,77,0,21,18,2,3
2020-05-26,Wartburgkreis,67,67,0,9,8,3,2
2020-05-26,Weimarer Land,73,73,0,12,10,0,4
